GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,VavailabilityType,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,Properties.Tolerance,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,Properties.Tolerance.Tolerate,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,Dtend,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,AvailableType,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,DurationPropType,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,WsCalendarIntervalType,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,ArrayOfVavailabilityContainedComponents,14,0,2,0,4,0,3,0,2,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,Dtstart,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,Properties,45,0,0,0,19,0,13,0,13,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,ObjectFactory,160,0,0,0,29,0,21,0,21,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.xcal,Uid,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.iso,ISO3AlphaCurrencyCodeContentType,1834,0,0,0,185,0,6,0,6,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.iso,ObjectFactory,18,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.errorcodes,Oadr20bApplicationLayerErrorCode,3,0,0,0,2,0,1,0,1,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.gml,FeatureCollection,17,0,0,0,7,0,5,0,5,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.gml,FeatureCollection.Location.Polygon,17,0,0,0,7,0,5,0,5,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.gml,ObjectFactory,38,0,0,0,9,0,8,0,8,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.gml,FeatureCollection.Location.Polygon.Exterior,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.gml,FeatureCollection.Location.Polygon.Exterior.LinearRing,14,0,2,0,4,0,3,0,2,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.gml,FeatureCollection.Location,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.builders.eiopt,Oadr20bCreateOptBuilder,20,58,0,0,4,15,1,7,1,7
OpenADRModel20b,com.avob.openadr.model.oadr20b.builders.eiopt,Oadr20bCanceledOptBuilder,0,18,0,0,0,6,0,3,0,3
OpenADRModel20b,com.avob.openadr.model.oadr20b.builders.eiopt,Oadr20bCancelOptBuilder,0,18,0,0,0,6,0,3,0,3
OpenADRModel20b,com.avob.openadr.model.oadr20b.builders.eiopt,Oadr20bCreatedOptBuilder,7,18,0,0,2,6,1,3,1,3
OpenADRModel20b,com.avob.openadr.model.oadr20b.builders.eiopt,Oadr20bVavailabilityBuilder,23,0,0,0,7,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,LinkType,74,0,0,0,30,0,20,0,20,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,GeneratorType,46,0,0,0,18,0,12,0,12,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,EntryType,36,0,2,0,12,0,8,0,7,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,DateTimeType,32,0,0,0,12,0,8,0,8,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,IconType,32,0,0,0,12,0,8,0,8,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,PersonType,36,0,2,0,12,0,8,0,7,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,ObjectFactory,522,0,0,0,79,0,58,0,58,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,CategoryType,46,0,0,0,18,0,12,0,12,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,IdType,32,0,0,0,12,0,8,0,8,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,TextType,43,0,2,0,15,0,10,0,9,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,UriType,32,0,0,0,12,0,8,0,8,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,ContentType,50,0,2,0,18,0,12,0,11,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,LogoType,32,0,0,0,12,0,8,0,8,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,FeedType,36,0,2,0,12,0,8,0,7,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.atom,SourceType,36,0,2,0,12,0,8,0,7,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ReadingType,129,0,0,0,55,0,37,0,37,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,IdentifiedObject,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ReadingQuality,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,IntervalBlock,21,0,2,0,7,0,5,0,4,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,IntervalReading,35,0,2,0,13,0,9,0,8,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,UsagePoint,31,0,0,0,13,0,9,0,9,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ServiceDeliveryPoint,24,0,0,0,10,0,7,0,7,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ServiceStatus,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,RationalNumber,17,0,0,0,7,0,5,0,5,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,DateTimeInterval,17,0,0,0,7,0,5,0,5,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ReadingInterharmonic,17,0,0,0,7,0,5,0,5,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,TimeConfiguration,31,0,0,0,13,0,9,0,9,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,BatchItemInfo,31,0,0,0,13,0,9,0,9,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ElectricPowerQualitySummary,101,0,0,0,43,0,29,0,29,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ObjectFactory,294,0,0,0,52,0,37,0,37,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,Object,14,0,2,0,4,0,3,0,2,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,LineItem,31,0,0,0,13,0,9,0,9,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,MeterReading,3,0,0,0,1,0,1,0,1,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ServiceCategory,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,SummaryMeasurement,31,0,0,0,13,0,9,0,9,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.greenbutton,ElectricPowerUsageSummary,140,0,2,0,58,0,39,0,38,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.emix,ServiceAreaType,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.emix,ObjectFactory,50,0,0,0,9,0,6,0,6,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.emix,ItemBaseType,3,0,0,0,1,0,1,0,1,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,ObjectFactory,330,0,0,0,55,0,36,0,36,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,VoltageType,30,0,0,0,12,0,7,0,7,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,PowerItemType,31,0,0,0,13,0,9,0,9,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,PowerReactiveType,3,0,0,0,1,0,1,0,1,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,EnergyApparentType,3,0,0,0,1,0,1,0,1,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,EnergyReactiveType,3,0,0,0,1,0,1,0,1,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,MeterAssetType,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,PnodeType,10,0,0,0,4,0,3,0,3,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,EnergyItemType,24,0,0,0,10,0,7,0,7,0
OpenADRModel20b,com.avob.openadr.model.oadr20b.power,PowerApparentType,3,0,0,0,1,0,1,0,1,0
