GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.controller,Oadr20bVENEiRegisterPartyController,174,10,14,0,35,4,11,2,4,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.controller,Oadr20bVENEiEventController,126,10,8,0,28,4,8,2,4,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.controller,Oadr20bVENEiReportController,322,10,26,0,65,4,19,2,6,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,VtnSessionConfiguration,69,100,15,7,20,19,17,10,8,8
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,HttpSecurityConfig,0,33,0,0,0,7,0,2,0,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,MultiVtnConfig,110,181,5,9,19,35,7,8,2,6
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,VENEmbeddedServletContainerCustomizer,10,61,4,2,1,16,3,3,0,3
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,VENJettyServerCustomizer,42,165,0,0,14,42,0,4,0,4
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,VEN20bApplication,36,39,0,0,14,9,1,5,1,5
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,VenConfig,78,57,8,0,26,15,23,10,19,10
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,Oadr20bX509AuthenticatedUserDetailsService,46,18,2,0,11,4,2,2,1,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven,VenPushModelCondition,22,0,2,0,6,0,3,0,2,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.task,OadrRegisterReportTask,88,0,4,0,24,0,5,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.task,OadrCreateReportTask,84,0,2,0,23,0,4,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.task,OadrUpdateReportTask,84,0,2,0,23,0,4,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.task,OadrCreatedEventTask,75,0,2,0,20,0,4,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.task,OadrResponseTask,75,0,2,0,20,0,4,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bVENEiRegisterPartyService,545,12,26,0,140,3,26,2,13,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bVENEiEventService.EiEventScheduledTask,18,0,0,0,6,0,1,0,1,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,XmlSignatureService,27,16,0,0,6,4,2,2,2,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bVENEiEventService.EiEventScheduledOnIntervalStartTask,20,0,0,0,5,0,2,0,2,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bVENEiEventService.EiEventScheduledOnLastIntervalEndTask,29,0,0,0,6,0,3,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,StatePersistenceService,172,6,20,0,18,3,13,1,3,1
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bPollService,86,12,8,0,19,3,7,2,3,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bVENEiEventService,575,182,61,12,133,40,48,14,13,10
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bPollService.OadrPollTask,556,0,40,0,114,0,23,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,PlanRequestService,60,3,0,0,10,1,5,1,5,1
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bVENEiEventService.new Object() {...},47,0,0,0,1,0,1,0,1,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.service,Oadr20bVENEiReportService,54,7,0,0,19,2,5,2,5,2
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.exception,Oadr20bCancelPartyRegistrationApplicationLayerException,17,0,0,0,7,0,3,0,3,0
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.exception,Oadr20bDistributeEventApplicationLayerException,10,7,0,0,4,3,2,1,2,1
OpenADRServerVEN20b,com.avob.openadr.server.oadr20b.ven.exception.handler,Oadr20bGlobalExceptionHandler,21,12,0,0,8,4,4,3,4,3
