GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.models.venreport.capability,ReportCapabilityDescription,12,89,0,0,6,37,3,26,3,26
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.models.venreport.capability,SelfReportCapability,7,3,0,0,3,1,2,1,2,1
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.models.venreport.capability,ReportCapability,12,40,0,0,6,16,3,12,3,12
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.models.venreport.capability,SelfReportCapabilityDescription,10,7,0,0,4,3,3,2,3,2
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.models.venreport.capability,OtherReportCapabilityDescription,14,9,0,0,6,5,4,2,4,2
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.models.venreport.capability,OtherReportCapability,14,9,0,0,6,5,4,2,4,2
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.exception.eievent,Oadr20bRequestEventApplicationLayerException,7,10,0,0,3,4,1,2,1,2
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.exception.eievent,Oadr20bCreatedEventApplicationLayerException,7,10,0,0,3,4,1,2,1,2
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.exception,OadrElementNotFoundException,4,3,0,0,2,2,1,1,1,1
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.push,Oadr20bPushService,342,88,33,1,78,15,22,5,5,5
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.push,Oadr20bDemandResponseEventCreateListener,88,11,6,0,17,5,4,2,1,2
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,OtherReportDataService,0,17,0,0,0,4,0,4,0,4
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,SelfReportDataService,3,3,0,0,1,1,1,1,1,1
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,SelfReportCapabilityDescriptionService,0,17,0,0,0,4,0,4,0,4
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,OtherReportCapabilityService,10,17,0,0,2,4,2,4,2,4
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,SelfReportCapabilityService,0,12,0,0,0,3,0,3,0,3
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,OtherReportCapabilityDescriptionService,11,22,0,0,2,5,2,5,2,5
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,SelfReportRequestService,0,17,0,0,0,4,0,4,0,4
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.report,OtherReportRequestService,24,22,0,0,5,5,4,5,4,5
OpenADRServerVTN20b,com.avob.openadr.server.oadr20b.vtn.service.dtomapper,Oadr20bDtoMapper,0,66,0,0,0,16,0,5,0,5
