GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.vendemandresponseevent,VenDemandResponseEvent,36,49,0,0,3,20,2,11,2,11
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,VenService,6,122,0,2,2,24,1,16,1,15
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,DemandResponseEventService,47,634,18,66,9,140,20,48,3,23
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,AbstractUserService,0,57,0,0,0,12,0,5,0,5
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,OadrUserService,6,41,0,0,2,9,1,7,1,7
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,VenMarketContextService,0,33,0,0,0,8,0,7,0,7
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,VenRequestCountService,0,36,0,2,0,9,0,3,0,2
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,DemandResponseEventService.new Runnable() {...},48,12,8,0,12,1,5,1,1,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,VenResourceService,16,37,0,0,4,8,3,7,3,7
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service,VenGroupService,5,33,0,0,1,8,1,7,1,7
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.venresource,VenResource,18,41,1,1,8,14,6,6,5,6
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.venresource,VenResourceDto,0,23,0,0,0,11,0,6,0,6
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.venrequestcount,VenRequestCount,0,31,0,0,0,12,0,6,0,6
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service.push,DemandResponseEventPublisher,12,3,0,0,4,1,2,1,2,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service.dtomapper,VenMapper,16,5,4,0,6,2,4,1,2,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service.dtomapper,DtoMapper.new BeanMappingBuilder() {...},0,29,0,0,0,5,0,2,0,2
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service.dtomapper,MarketContextMapper,9,17,2,2,4,6,3,3,1,3
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.service.dtomapper,DtoMapper,0,61,0,2,0,14,0,6,0,5
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.ven,Ven,63,101,0,0,14,40,8,25,8,25
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.ven,VenUpdateDto,17,0,0,0,7,0,5,0,5,0
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.ven,VenCreateDto,0,100,0,0,0,44,0,28,0,28
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.user,AbstractUser,13,27,0,0,6,12,2,8,2,8
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.user,OadrUser,7,3,0,0,3,2,2,1,2,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn,EmbeddedSqlDatabaseInit,76,0,0,0,14,0,2,0,2,0
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn,AsyncConfig,0,33,0,0,0,11,0,3,0,3
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn,VTNJettyServerCustomizer.new LifeCycle.Listener() {...},66,0,0,0,11,0,6,0,6,0
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn,VTNEmbeddedServletContainerCustomizer,71,0,6,0,17,0,6,0,3,0
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn,VTNJettyServerCustomizer,217,0,0,0,58,0,5,0,5,0
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn,EmbeddedSqlDatabaseConfig,10,0,0,0,2,0,2,0,2,0
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.controller,VenController,141,668,9,35,31,130,7,32,2,15
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.controller,EosDemandResponseController,0,217,0,16,0,51,0,21,0,13
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.controller,GroupController,4,92,1,5,2,22,1,8,0,6
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.controller,MarketContextController,4,90,1,5,2,21,1,8,0,6
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.exception,OadrVTNInitializationException,4,0,0,0,2,0,1,0,1,0
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.exception,UnparsableDateFormatException,0,3,0,0,0,1,0,1,0,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.venmarketcontext,VenMarketContextDto,0,23,0,0,0,11,0,6,0,6
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.venmarketcontext,VenMarketContext,15,34,0,4,7,12,4,7,4,5
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.utils,DateUtils,3,85,0,4,2,23,1,4,1,2
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.security,DigestAuthenticationProvider,23,10,0,0,5,2,2,2,2,2
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.security,OadrSecurityRoleService,154,8,12,0,25,2,12,1,6,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.security,DigestMD5PasswordEncoder,14,21,0,0,3,5,1,3,1,3
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.security,DigestUserDetailsService,5,3,0,0,1,1,1,1,1,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.security,BasicAuthenticationManager,59,8,8,0,10,2,5,1,1,1
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.demandresponseevent,DemandResponseEvent,6,167,0,0,2,71,2,43,2,43
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.demandresponseevent,DemandResponseEventDto,0,132,0,0,0,56,0,37,0,37
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.demandresponseevent,DemandResponseEventStateEnum,5,33,0,0,0,2,1,3,1,3
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.demandresponseevent,DemandResponseEventOptEnum,5,33,0,0,0,2,1,3,1,3
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.demandresponseevent,DemandResponseEventDtoValidator,5,188,4,14,1,40,4,12,0,7
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.demandresponseevent,DemandResponseEventSimpleValueEnum,8,68,0,0,1,8,2,4,2,4
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.demandresponseevent,DemandResponseEventOadrProfileEnum,8,42,0,0,1,7,2,4,2,4
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.vengroup,VenGroupDto,0,23,0,0,0,11,0,6,0,6
OpenADRServerVTNCommon,com.avob.openadr.server.common.vtn.models.vengroup,VenGroup,15,34,0,4,7,12,4,7,4,5
